Millesime,Catégorie juridique,Catégorie,Etablissement2,Ressource,Négociée,Valeur,Code département,Académie,Code Région,Région
2017,Association loi de 1901,Fédération,Fédération nationale des centres de lutte contre le cancer (Fédération UNICANCER),Nature Publishing (bouquet),OUI,102555.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Cergy-Pontoise (UCP),Nature Publishing (bouquet),OUI,9834.0,D095,Versailles,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris Descartes,Nature Publishing (bouquet),OUI,48167.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Navis,OUI,16324.0,D075,Paris,R11,Île-de-France
2015,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Navis,OUI,7567.0,D075,Paris,R11,Île-de-France
2016,SA à conseil d'administration,Établissement d’enseignement supérieur consulaire,ESCP Business School,Navis,OUI,5095.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Cergy-Pontoise (UCP),Navis,OUI,1471.0,D095,Versailles,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Cergy-Pontoise (UCP),Navis,OUI,1486.0,D095,Versailles,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Sorbonne Paris Nord,Navis,OUI,10077.0,D093,Créteil,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Sorbonne Paris Nord,Navis,OUI,10178.0,D093,Créteil,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris Descartes,Navis,OUI,5249.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Navis,OUI,5675.0,D093,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Navis,OUI,3133.0,D093,Créteil,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Navis,OUI,2636.0,D093,Créteil,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Sorbonne,Naxos Music Library,NON,5250.0,D075,Paris,R11,Île-de-France
2016,Établissement d'hospitalisation,Centre hospitalier,Assistance publique - Hôpitaux de Paris (AP-HP),New England Journal of Medicine (NEJM),OUI,32668.0,D075,Paris,R11,Île-de-France
2017,Établissement d'hospitalisation,Centre hospitalier,Assistance publique - Hôpitaux de Paris (AP-HP),New England Journal of Medicine (NEJM),OUI,34414.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de Santé (BIUS),New England Journal of Medicine (NEJM),OUI,8325.0,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de Santé (BIUS),New England Journal of Medicine (NEJM),OUI,4258.54,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Organisme de recherche,Institut national de la santé et de la recherche médicale (INSERM),New England Journal of Medicine (NEJM),OUI,28234.0,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Academic Search,OUI,5660.74,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Academic Search,OUI,5918.95,D075,Paris,R11,Île-de-France
2018,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de Santé (BIUS),Academic Search,OUI,2671.8,D075,Paris,R11,Île-de-France
2015,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Academic Search,OUI,23990.0,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Bibliothèque,Bibliothèque nationale de France (BNF),Academic Search,OUI,25295.0,D075,Paris,R11,Île-de-France
