"Indicateurs";"Sexe";"Âge";"Forme d'emploi";"Statut d'activité au sens du BIT";"Profession et catégorie socioprofessionnelle (PCS)";"Diplôme";"Statut d'immigration";"Temps de travail";"Activité économique";"Composante du sous-emploi";"Durée du chômage";"Composante du halo du chômage";"Durée de chômage depuis la formation initiale";"Statut de l'observation";"Statut de confidentialité";"Quantité d'unités (en puissance de 10)";"Décimales";"Fréquence";Période;Valeur
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1975;58,7
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1976;58,8
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1977;59
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1978;58,6
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1979;59
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1980;59,1
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1981;58,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1982;58,8
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1983;58,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1984;58
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1985;57,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1986;57,9
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1987;57,6
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1988;57,1
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1989;57
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1990;56,6
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1991;56,3
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1992;56,4
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1993;56,4
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1994;56,3
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1995;56,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1996;56,6
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1997;56,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1998;56,2
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";1999;56,4
"Taux d’activité  (%)";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Normale";"Diffusable";"Pourcent";;"Annuel";2000;56,6
