Indicateurs,Fréquence,Période,Valeur
Taux d’activité  (%),Annuel,1975,58.7
Taux d’activité  (%),Annuel,1976,58.8
Taux d’activité  (%),Annuel,1977,59.0
Taux d’activité  (%),Annuel,1978,58.6
Taux d’activité  (%),Annuel,1979,59.0
Taux d’activité  (%),Annuel,1980,59.1
Taux d’activité  (%),Annuel,1981,58.9
Taux d’activité  (%),Annuel,1982,58.8
Taux d’activité  (%),Annuel,1983,58.2
Taux d’activité  (%),Annuel,1984,58.0
Taux d’activité  (%),Annuel,1985,57.9
Taux d’activité  (%),Annuel,1986,57.9
Taux d’activité  (%),Annuel,1987,57.6
Taux d’activité  (%),Annuel,1988,57.1
Taux d’activité  (%),Annuel,1989,57.0
Taux d’activité  (%),Annuel,1990,56.6
Taux d’activité  (%),Annuel,1991,56.3
Taux d’activité  (%),Annuel,1992,56.4
Taux d’activité  (%),Annuel,1993,56.4
Taux d’activité  (%),Annuel,1994,56.3
Taux d’activité  (%),Annuel,1995,56.2
Taux d’activité  (%),Annuel,1996,56.6
Taux d’activité  (%),Annuel,1997,56.2
Taux d’activité  (%),Annuel,1998,56.2
Taux d’activité  (%),Annuel,1999,56.4
Taux d’activité  (%),Annuel,2000,56.6
Taux d’activité  (%),Annuel,2001,56.5
Taux d’activité  (%),Annuel,2002,56.7
Taux d’activité  (%),Annuel,2003,57.0
Taux d’activité  (%),Annuel,2004,57.0
Taux d’activité  (%),Annuel,2005,56.9
Taux d’activité  (%),Annuel,2006,56.8
Taux d’activité  (%),Annuel,2007,56.9
Taux d’activité  (%),Annuel,2008,57.0
Taux d’activité  (%),Annuel,2009,57.2
Taux d’activité  (%),Annuel,2010,57.1
Taux d’activité  (%),Annuel,2011,56.9
Taux d’activité  (%),Annuel,2012,57.1
Taux d’activité  (%),Annuel,2013,57.1
Taux d’activité  (%),Annuel,2014,56.8
Taux d’activité  (%),Annuel,2015,56.7
Taux d’activité  (%),Annuel,2016,56.5
Taux d’activité  (%),Annuel,2017,56.3
Taux d’activité  (%),Annuel,2018,56.2
Taux d’activité  (%),Annuel,2019,55.9
Taux d’activité  (%),Annuel,2020,55.2
Taux d’activité  (%),Annuel,2021,55.9
Taux d’activité  (%),Annuel,2022,56.2
Taux d’activité  (%),Annuel,2023,56.3
