Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Janvier 1996; 63 650;  0; 88 680; 189 760; 69 710; 125 960; 71 870; 80 550; 68 890; 759 060
Février 1996; 63 380;  0; 89 190; 189 340; 69 830; 125 800; 71 900; 80 850; 68 800; 759 080
Mars 1996; 62 630;  0; 88 820; 187 230; 68 550; 124 570; 71 460; 80 770; 67 890; 751 920
Avril 1996; 61 550;  0; 87 040; 185 500; 67 160; 122 980; 70 200; 79 050; 66 290; 739 770
Mai 1996; 60 870;  0; 86 880; 184 810; 66 460; 122 020; 70 110; 78 170; 66 010; 735 340
Juin 1996; 60 200;  0; 86 010; 183 590; 65 250; 120 470; 70 190; 77 290; 65 030; 728 030
Juillet 1996; 60 290;  0; 86 480; 182 010; 66 200; 118 990; 70 820; 77 700; 66 380; 728 870
Août 1996; 61 380;  0; 88 120; 184 020; 67 780; 119 970; 72 300; 79 150; 68 350; 741 070
Septembre 1996; 63 730;  0; 90 220; 187 960; 70 130; 124 410; 74 610; 82 030; 70 530; 763 610
Octobre 1996; 64 560;  0; 90 440; 189 980; 70 810; 125 860; 74 990; 82 560; 70 650; 769 850
Novembre 1996; 64 300;  0; 90 770; 188 940; 71 440; 125 940; 75 380; 83 050; 70 660; 770 480
Décembre 1996; 64 330;  0; 89 550; 188 930; 71 130; 125 670; 74 780; 82 400; 69 750; 766 530
Janvier 1997; 65 260;  0; 91 380; 190 450; 72 960; 126 850; 76 210; 84 610; 71 010; 778 730
Février 1997; 65 120;  0; 91 140; 189 620; 72 370; 126 410; 76 250; 84 280; 70 610; 775 800
Mars 1997; 64 090;  0; 90 080; 188 100; 71 210; 124 890; 75 290; 83 340; 68 610; 765 620
Avril 1997; 62 950;  0; 89 300; 187 100; 70 680; 124 680; 74 970; 83 450; 68 760; 761 890
Mai 1997; 62 330;  0; 88 730; 185 280; 69 970; 123 290; 74 030; 82 550; 68 120; 754 300
Juin 1997; 61 600;  0; 88 830; 185 480; 69 740; 122 850; 73 990; 82 450; 68 060; 752 990
Juillet 1997; 61 290;  0; 88 720; 183 510; 70 130; 122 130; 73 870; 82 520; 68 150; 750 330
Août 1997; 61 980;  0; 89 530; 184 510; 70 930; 122 820; 74 630; 82 820; 69 380; 756 600
Septembre 1997; 63 910;  0; 91 820; 188 780; 73 430; 127 400; 76 860; 84 450; 71 650; 778 300
Octobre 1997; 64 050;  0; 92 760; 189 990; 74 170; 129 170; 77 630; 85 670; 72 330; 785 780
Novembre 1997; 63 430;  0; 92 190; 188 870; 73 670; 128 630; 77 140; 85 130; 71 280; 780 330
Décembre 1997; 63 060;  0; 91 590; 187 400; 73 310; 128 100; 76 360; 85 320; 70 800; 775 940
Janvier 1998; 63 830;  0; 92 030; 189 300; 74 360; 129 230; 76 930; 85 980; 71 040; 782 690
Février 1998; 63 800;  0; 91 860; 190 940; 73 920; 130 460; 76 980; 86 080; 70 440; 784 480
Mars 1998; 63 190;  0; 91 530; 191 170; 72 550; 130 650; 75 770; 85 470; 69 240; 779 570
Avril 1998; 62 500;  0; 90 470; 189 970; 71 100; 129 650; 74 840; 84 430; 67 930; 770 900
Mai 1998; 61 300;  0; 89 430; 188 040; 69 680; 127 930; 73 790; 83 250; 66 910; 760 330
Juin 1998; 60 920;  0; 87 780; 188 100; 67 930; 127 430; 72 570; 82 160; 65 400; 752 280
Juillet 1998; 60 920;  0; 87 860; 187 860; 68 660; 126 660; 72 630; 82 160; 65 850; 752 620
Août 1998; 62 040;  0; 89 210; 188 770; 69 850; 126 140; 73 700; 83 120; 67 180; 760 000
Septembre 1998; 63 750;  0; 91 370; 192 370; 71 810; 130 670; 75 920; 85 170; 69 620; 780 670
Octobre 1998; 63 930;  0; 91 830; 194 610; 72 630; 132 480; 76 440; 85 920; 70 220; 788 070
Novembre 1998; 63 340;  0; 91 710; 195 040; 72 220; 133 130; 76 100; 85 550; 70 040; 787 120
Décembre 1998; 63 010;  0; 92 220; 193 540; 72 890; 132 700; 76 360; 85 440; 70 210; 786 380
Janvier 1999; 62 830;  0; 91 600; 194 210; 71 960; 132 890; 76 430; 85 080; 69 850; 784 850
Février 1999; 62 370;  0; 90 540; 192 960; 71 670; 132 430; 76 340; 83 740; 69 320; 779 360
Mars 1999; 61 990;  0; 89 760; 192 910; 70 780; 132 830; 75 810; 83 560; 68 690; 776 310
Avril 1999; 61 080;  0; 89 090; 191 240; 69 170; 131 680; 74 650; 82 530; 67 720; 767 140
Mai 1999; 60 050;  0; 88 360; 190 000; 68 110; 129 880; 73 640; 81 630; 66 600; 758 260
Juin 1999; 59 450;  0; 87 590; 190 150; 66 800; 128 980; 72 960; 80 640; 65 850; 752 420
Juillet 1999; 58 500;  0; 85 580; 187 880; 65 260; 126 690; 71 040; 78 900; 64 880; 738 720
Août 1999; 58 630;  0; 87 290; 184 990; 66 000; 124 600; 72 540; 80 510; 66 560; 741 120
Septembre 1999; 59 940;  0; 88 800; 190 220; 67 040; 128 100; 73 860; 81 970; 68 030; 757 950
Octobre 1999; 59 640;  0; 88 700; 192 330; 66 730; 129 550; 73 600; 81 560; 67 870; 759 990
Novembre 1999; 58 190;  0; 88 190; 190 680; 66 120; 134 670; 72 940; 81 120; 67 330; 759 230
Décembre 1999; 57 940;  0; 86 730; 191 860; 64 700; 133 420; 71 580; 79 970; 65 020; 751 230
Janvier 2000; 57 900;  0; 86 220; 193 390; 64 170; 129 920; 71 730; 79 560; 66 210; 749 100
Février 2000; 57 290;  0; 85 280; 192 220; 63 460; 128 130; 70 590; 78 370; 64 910; 740 230
Mars 2000; 55 870;  0; 83 350; 190 180; 61 550; 125 550; 68 830; 76 550; 63 140; 725 010
Avril 2000; 54 020;  0; 81 780; 185 710; 59 440; 121 810; 67 050; 75 010; 61 440; 706 270
Mai 2000; 53 530;  0; 79 850; 184 670; 57 580; 121 420; 65 310; 72 900; 59 650; 694 900
Juin 2000; 51 300;  0; 77 970; 165 640; 55 050; 113 260; 63 050; 69 850; 57 610; 653 720
Juillet 2000; 51 040;  0; 76 740; 163 930; 54 410; 112 330; 61 690; 69 020; 57 310; 646 470
Août 2000; 51 700;  0; 78 380; 165 600; 55 330; 113 180; 63 200; 70 180; 58 340; 655 900
Septembre 2000; 52 060;  0; 79 250; 166 370; 54 980; 114 360; 63 180; 70 790; 58 610; 659 600
Octobre 2000; 51 260;  0; 78 820; 166 350; 54 660; 114 580; 62 390; 70 560; 58 300; 656 920
Novembre 2000; 49 850;  0; 77 450; 166 050; 53 950; 111 540; 61 340; 69 370; 56 920; 646 470
Décembre 2000; 48 640;  0; 75 890; 162 850; 53 260; 109 730; 60 980; 67 650; 56 070; 635 070
Janvier 2001; 48 670;  0; 76 270; 163 290; 53 180; 110 200; 61 000; 66 370; 55 890; 634 870
Février 2001; 48 100;  0; 75 330; 162 510; 52 260; 108 850; 60 520; 67 630; 54 780; 629 970
Mars 2001; 46 890;  0; 75 120; 161 530; 51 540; 107 440; 59 210; 66 710; 53 570; 622 000
Avril 2001; 45 910;  0; 74 570; 158 610; 50 260; 106 430; 58 370; 66 010; 53 460; 613 630
Mai 2001; 45 590;  0; 74 000; 158 880; 49 490; 106 030; 57 910; 65 460; 52 940; 610 290
Juin 2001; 44 760;  0; 73 470; 158 100; 48 660; 104 370; 56 400; 64 340; 52 450; 602 550
Juillet 2001; 45 040;  0; 74 040; 158 300; 48 920; 103 570; 57 250; 64 370; 53 180; 604 670
Août 2001; 45 790;  0; 75 300; 160 030; 50 180; 103 590; 58 230; 65 550; 54 330; 613 000
Septembre 2001; 46 790;  0; 77 370; 163 230; 50 940; 106 790; 59 800; 67 200; 56 110; 628 240
Octobre 2001; 47 630;  0; 79 810; 166 150; 52 470; 108 230; 61 370; 68 880; 57 780; 642 320
Novembre 2001; 48 710;  0; 80 380; 170 100; 53 170; 110 130; 61 700; 69 320; 58 290; 651 810
Décembre 2001; 48 800;  0; 80 350; 170 510; 53 260; 110 060; 61 900; 68 960; 58 540; 652 370
Janvier 2002; 50 610;  0; 82 530; 174 730; 55 420; 112 940; 63 600; 70 700; 60 470; 671 000
Février 2002; 50 960;  0; 83 130; 175 790; 55 590; 113 740; 63 800; 70 920; 61 080; 675 000
Mars 2002; 50 810;  0; 82 520; 174 900; 55 050; 113 910; 63 380; 70 750; 60 350; 671 670
Avril 2002; 51 090;  0; 83 150; 177 140; 55 760; 114 530; 64 170; 71 210; 61 170; 678 210
Mai 2002; 51 030;  0; 84 040; 177 760; 55 610; 113 330; 63 880; 70 940; 61 050; 677 640
Juin 2002; 51 100;  0; 84 220; 177 940; 55 190; 113 190; 63 720; 70 640; 61 060; 677 050
Juillet 2002; 52 270;  0; 85 630; 180 260; 56 330; 113 560; 64 640; 71 610; 62 550; 686 840
Août 2002; 52 880;  0; 86 300; 181 790; 56 740; 113 860; 65 040; 72 720; 63 290; 692 620
Septembre 2002; 54 950;  0; 89 860; 185 240; 58 540; 117 770; 67 830; 75 460; 66 270; 715 910
Octobre 2002; 56 230;  0; 92 350; 189 920; 59 830; 119 130; 69 380; 76 400; 67 820; 731 070
Novembre 2002; 56 730;  0; 92 660; 191 050; 60 120; 119 090; 69 310; 75 670; 68 010; 732 620
Décembre 2002; 57 120;  0; 92 430; 191 770; 60 470; 118 860; 69 070; 75 390; 67 650; 732 740
Janvier 2003; 58 090;  0; 94 160; 193 830; 61 650; 120 460; 70 480; 76 780; 68 760; 744 210
Février 2003; 58 610;  0; 94 690; 194 510; 62 010; 120 880; 71 210; 76 930; 68 890; 747 720
Mars 2003; 59 130;  0; 95 130; 195 890; 62 600; 121 730; 71 520; 77 610; 68 660; 752 260
Avril 2003; 59 060;  0; 95 180; 195 520; 62 490; 121 730; 71 300; 77 240; 68 470; 750 990
Mai 2003; 58 660;  0; 94 580; 194 290; 62 580; 120 670; 71 000; 76 580; 68 040; 746 390
Juin 2003; 58 800;  0; 94 190; 193 280; 62 670; 120 910; 70 540; 76 930; 67 750; 745 070
Juillet 2003; 57 920;  0; 94 040; 195 220; 62 190; 120 930; 70 370; 77 340; 68 190; 746 190
Août 2003; 59 260;  0; 95 230; 195 850; 64 010; 120 750; 71 180; 77 780; 69 450; 753 510
Septembre 2003; 61 890;  0; 98 440; 201 530; 66 780; 126 310; 74 410; 81 440; 72 540; 783 330
Octobre 2003; 62 420;  0; 99 560; 203 210; 67 660; 127 820; 75 700; 82 420; 73 720; 792 510
Novembre 2003; 62 180;  0; 99 390; 202 200; 67 960; 127 680; 75 800; 82 120; 73 790; 791 120
Décembre 2003; 62 320;  0; 99 540; 202 230; 68 300; 127 760; 76 330; 82 080; 74 180; 792 740
Janvier 2004; 62 150;  0; 98 610; 200 570; 68 140; 126 390; 75 740; 81 730; 73 640; 786 980
Février 2004; 61 550;  0; 97 630; 199 230; 67 880; 125 670; 75 060; 81 440; 72 790; 781 240
Mars 2004; 61 430;  0; 97 300; 198 250; 67 620; 126 020; 74 690; 81 650; 72 420; 779 380
Avril 2004; 61 040;  0; 96 570; 196 540; 66 940; 125 080; 74 360; 80 840; 71 680; 773 060
Mai 2004; 60 640;  0; 96 290; 195 240; 66 700; 124 750; 73 960; 80 290; 71 230; 769 090
Juin 2004; 60 570;  0; 97 120; 195 610; 67 140; 124 950; 74 750; 80 650; 71 540; 772 340
Juillet 2004; 60 400;  0; 96 420; 193 490; 67 390; 122 800; 74 470; 80 250; 71 750; 766 960
Août 2004; 61 380;  0; 98 080; 195 480; 68 740; 124 270; 75 930; 81 790; 73 410; 779 060
Septembre 2004; 63 870;  0; 100 210; 199 350; 71 180; 128 440; 78 260; 84 000; 75 360; 800 680
Octobre 2004; 64 050;  0; 100 630; 200 330; 71 730; 129 100; 78 720; 84 220; 75 760; 804 530
Novembre 2004; 64 000;  0; 101 180; 200 950; 72 440; 130 380; 79 150; 85 230; 76 290; 809 600
Décembre 2004; 63 930;  0; 100 990; 200 070; 72 670; 129 250; 79 100; 84 570; 75 990; 806 570
